name,lat,long,genus
Troglosiro_MCZ134766-mapped,-22.1,166.66667,Troglosiro
Troglosiro_MCZ134770-mapped,,,Troglosiro
Troglosiro_MCZ134771-mapped,-22.33333,166.91667,Troglosiro
Troglosiro_MCZ134776-mapped,,,Troglosiro
Troglosiro_MCZ134778-mapped,-21.57944,165.84278,Troglosiro
Troglosiro_MCZ134779-mapped,,,Troglosiro
Troglosiro_MCZ134780-mapped,,,Troglosiro
Troglosiro_MCZ134781-mapped,-20.95367,165.28783,Troglosiro
Troglosiro_MCZ134782-mapped,-21.7525,166.00083,Troglosiro
Troglosiro_MCZ134784-mapped,-22.16806,166.89667,Troglosiro
Troglosiro_MCZ134786-mapped,-22.15,166.68333,Troglosiro
Troglosiro_QM1-mapped,,,Troglosiro
Troglosiro_QM2-mapped,,,Troglosiro
Troglosiro_Trog42069-mapped,,,Troglosiro
Troglosiro_brevifossa_MCZ134775-mapped,-22.3875,166.92944,Troglosiro
Troglosiro_dogny_MCZ151570-mapped,-21.61696,165.88393,Troglosiro
Troglosiro_dogny_MCZ51947-mapped,-21.62083,165.87778,Troglosiro
Troglosiro_juberthiei_MCZ134763-mapped,-22.05,166.46667,Troglosiro
Troglosiro_juberthiei_MCZ134767-mapped,-22.05,166.46667,Troglosiro
Troglosiro_longifossa_MCZ65204-mapped,-22.34972,166.97083,Troglosiro
Troglosiro_monteithi_MCZ134769-mapped,-21.58333,165.8,Troglosiro
Troglosiro_monteithi_MCZ134773-mapped,-21.61,165.81028,Troglosiro
Troglosiro_monteithi_MCZ51948-mapped,-21.5925,165.80528,Troglosiro
Troglosiro_ninqua_MCZ134768-mapped,-21.75,166.15,Troglosiro
Troglosiro_pin_MCZ133854-mapped,-22.24714,166.82792,Troglosiro
Troglosiro_pin_MCZ133873-mapped,-22.28333,166.83333,Troglosiro
Troglosiro_pin_MCZ133874-mapped,-22.25,166.81667,Troglosiro
Troglosiro_pin_MCZ133875-mapped,-22.25,166.81667,Troglosiro
Troglosiro_pin_MCZ133876-mapped,-22.25,166.81667,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133855-mapped,-22.27961,166.89456,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133856-mapped,-22.27961,166.89456,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133857-mapped,-22.32292,166.91506,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133859-mapped,-22.28333,166.9,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133860-mapped,-22.28333,166.9,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133861-mapped,-22.28333,166.88333,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133862-mapped,-22.28333,166.88333,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133863-mapped,-22.28333,166.88333,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133864-mapped,-22.29167,166.89167,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133865-mapped,-22.28333,166.88333,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133866-mapped,-22.28333,166.9,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133867-mapped,-22.325,166.925,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133868-mapped,-22.32306,166.91528,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133869-mapped,-22.32306,166.91528,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133870-mapped,-22.32306,166.91528,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133871-mapped,-22.31667,166.91667,Troglosiro
Troglosiro_pseudojuberthiei_MCZ133872-mapped,-22.32389,166.91444,Troglosiro
Troglosiro_pseudojuberthiei_MCZ151618-mapped,-22.27977,166.89454,Troglosiro
Troglosiro_pseudojuberthiei_MCZ51946-mapped,-22.28333,166.89611,Troglosiro
Troglosiro_raveni_MCZ134777-mapped,-21.41667,165.46667,Troglosiro
Troglosiro_sharmai_MCZ151558-mapped,-20.91674,165.06189,Troglosiro
Troglosiro_urbanus_MCZ134789-mapped,-22.19514,166.50164,Troglosiro
Troglosiro_urbanus_MCZ51943-mapped,-22.19583,166.49861,Troglosiro
Troglosiro_urbanus_MCZ72577-mapped,-22.19583,166.49861,Troglosiro
Troglosiro_wilsoni_MCZ134787-mapped,-22.17697,166.51064,Troglosiro
Troglosiro_aelleni_MCZ134764-mapped,-21.183333,165.316666,Troglosiro